Date,Open,High,Low,Close,Adj Close,Volume
2021-05-16,43.531631,46.640377,39.453522,42.631512,42.631512,4268621267
2021-05-17,42.386211,42.386211,35.430058,38.710159,38.710159,4779518016
2021-05-18,38.631367,42.600018,37.850582,40.645355,40.645355,3914013746
2021-05-19,40.688820,41.340519,18.635315,25.227142,25.227142,10069997172
2021-05-20,25.060495,31.229704,21.279379,29.150570,29.150570,6694931133
2021-05-21,29.015823,30.980139,20.029606,24.463970,24.463970,6442011513
2021-05-22,24.468996,24.601328,20.484144,22.014524,22.014524,4379003452
2021-05-23,22.069677,23.464121,13.822857,18.029442,18.029442,6002858936
2021-05-24,17.922501,23.488632,17.208324,23.199089,23.199089,4412004564
2021-05-25,23.257433,24.203800,19.757860,22.130131,22.130131,3303527397
2021-05-26,22.185699,24.740444,21.673191,24.549688,24.549688,3100578186
2021-05-27,24.546219,24.898315,21.809864,23.852982,23.852982,2755550527
2021-05-28,23.976791,26.115757,20.127405,21.410093,21.410093,4521086730
2021-05-29,21.367643,22.271090,18.807243,19.863375,19.863375,2392272347
2021-05-30,19.863420,21.245222,18.561646,20.473988,20.473988,1947583708
2021-05-31,20.477188,23.430927,19.097073,23.430927,23.430927,2651300356
2021-06-01,23.296970,23.516838,21.745428,22.810846,22.810846,2230220978
2021-06-02,22.847124,26.844893,22.684246,25.957727,25.957727,2962777621
2021-06-03,25.941643,28.614927,25.750546,27.013458,27.013458,2803059246
2021-06-04,26.987314,26.987314,23.707581,25.008299,25.008299,2801117143
2021-06-05,25.021383,26.388992,23.064758,23.816771,23.816771,2102969701
2021-06-06,23.793795,24.458090,23.624956,24.201599,24.201599,1187622849
2021-06-07,24.202633,25.279028,21.432226,21.626959,21.626959,1861117892
2021-06-08,21.703253,22.271933,19.663782,21.745270,21.745270,2653898124
2021-06-09,21.661722,23.283066,20.435955,23.184938,23.184938,2220005781
2021-06-10,23.200251,24.551924,22.106970,22.684816,22.684816,2114395058
2021-06-11,22.683626,23.192602,20.515980,20.985857,20.985857,1517304438
2021-06-12,20.963896,21.257568,19.521172,20.777037,20.777037,1455506948
2021-06-13,20.755634,22.401642,19.993820,22.076334,22.076334,1233102638
2021-06-14,22.044922,26.031012,21.305422,22.205357,22.205357,1232810594
2021-06-15,25.186892,25.985241,23.648100,24.760836,24.760836,3151346883
2021-06-16,23.969503,24.540514,22.575315,22.972176,22.972176,1694813679
2021-06-17,23.017530,23.996916,22.015537,22.511454,22.511454,1236017502
2021-06-18,22.547190,22.565636,20.273529,21.398895,21.398895,1406342364
2021-06-19,21.450775,21.654121,20.313393,20.355942,20.355942,997553727
2021-06-20,20.263674,21.017651,18.952503,20.672363,20.672363,1309501356
2021-06-21,20.638241,20.776974,15.381439,15.769904,15.769904,2426849565
2021-06-22,15.723164,16.935104,13.056847,14.652412,14.652412,3026165113
2021-06-23,14.659879,16.801208,14.008465,16.142490,16.142490,2060945482
2021-06-24,15.810255,16.594536,14.753929,16.253658,16.253658,1163182954
2021-06-25,16.232014,16.721203,14.467696,14.467696,14.467696,1273917013
2021-06-26,14.441859,14.991236,13.645801,14.499612,14.499612,1135392300
2021-06-27,14.519034,15.040333,14.064211,15.015594,15.015594,982313261
2021-06-28,15.035586,16.032860,14.682418,15.740378,15.740378,1109200887
2021-06-29,15.776033,17.031670,15.738138,16.253370,16.253370,1342798978
2021-06-30,16.307409,16.622644,15.105000,16.402195,16.402195,1208316036
2021-07-01,16.414341,16.414341,14.895052,15.278964,15.278964,883647161
2021-07-02,15.219061,15.469187,14.675115,15.340774,15.340774,753194773
2021-07-03,15.321934,15.776978,15.068263,15.553716,15.553716,711235057
2021-07-04,15.553584,16.579445,15.221813,16.014027,16.014027,752075893
2021-07-05,15.996540,15.996540,14.788740,15.235582,15.235582,844844586
2021-07-06,15.240785,16.162344,15.210810,16.143564,16.143564,1001573398
2021-07-07,16.136374,17.674274,16.101461,16.857790,16.857790,1424247756
2021-07-08,16.877674,16.879568,15.005345,15.337748,15.337748,1116757295
2021-07-09,15.310519,15.901407,14.853454,15.669269,15.669269,822381786
2021-07-10,15.681146,15.982070,15.080467,15.290839,15.290839,664082424
2021-07-11,15.284208,15.714939,15.164154,15.482435,15.482435,543030842
2021-07-12,15.491078,15.649907,14.437862,14.873133,14.873133,668145499
2021-07-13,14.860332,15.094985,14.029666,14.189650,14.189650,607013676
2021-07-14,14.195370,14.205731,13.198355,13.799570,13.799570,859077648
2021-07-15,13.809198,14.103684,12.761530,13.084849,13.084849,766661233
2021-07-16,13.074950,13.311600,12.015724,12.053826,12.053826,810693173
2021-07-17,12.027476,12.735907,11.748999,12.292176,12.292176,851659386
2021-07-18,12.298962,12.934033,12.274255,12.682146,12.682146,675122783
2021-07-19,12.658315,12.743031,11.363264,11.425251,11.425251,870751781
2021-07-20,11.458398,11.546499,10.421495,10.981212,10.981212,940409268
2021-07-21,10.963041,12.847417,10.688973,12.305879,12.305879,1230601624
2021-07-22,12.325520,13.340933,11.861371,13.161491,13.161491,1044329360
2021-07-23,13.167067,13.494526,12.360314,13.397968,13.397968,955080499
2021-07-24,13.391894,14.039612,13.138667,13.805341,13.805341,886579432
2021-07-25,13.777481,13.833035,13.095837,13.712600,13.712600,777347324
2021-07-26,13.739114,15.288157,13.662253,13.951712,13.951712,1793449168
2021-07-27,13.933467,14.532207,13.398345,14.376072,14.376072,1125369355
2021-07-28,14.401078,14.741688,13.972804,14.538835,14.538835,1108934437
2021-07-29,14.530527,15.378659,14.295146,15.236948,15.236948,1062263753
2021-07-30,15.257332,15.838523,14.438772,15.838523,15.838523,1137541991
2021-07-31,15.795484,17.002420,15.609441,16.847204,16.847204,1264877872
2021-08-01,16.783762,19.867767,16.598808,18.413965,18.413965,2765314958
2021-08-02,18.431353,18.831837,17.609724,18.017284,18.017284,1663229216
2021-08-03,18.008831,18.513397,16.866259,17.336826,17.336826,1323763207
2021-08-04,17.418772,19.523396,17.130821,19.163094,19.163094,1596864082
2021-08-05,19.157345,19.451784,17.908806,19.132372,19.132372,1640748887
2021-08-06,19.126932,20.759222,18.550566,20.400679,20.400679,1714827721
2021-08-07,20.421259,21.682161,20.089033,20.967094,20.967094,1715197695
2021-08-08,20.967562,21.171062,19.247997,19.676132,19.676132,1319824174
2021-08-09,19.661148,21.248898,18.735897,20.620972,20.620972,1388957425
2021-08-10,20.581572,21.388754,20.124872,20.608009,20.608009,1436590205
2021-08-11,20.619293,22.396412,20.552658,21.402422,21.402422,1858448703
2021-08-12,21.378454,22.278870,19.957048,20.754807,20.754807,1646177585
2021-08-13,20.790308,22.714149,20.552851,22.714149,22.714149,1463855800
2021-08-14,22.725380,23.477127,21.871506,22.861027,22.861027,1618443546
2021-08-15,22.858994,23.337629,21.872826,23.174017,23.174017,1302613173
2021-08-16,23.169600,25.648554,22.900766,24.535856,24.535856,2668518584
2021-08-17,24.432089,27.387135,23.086954,23.533640,23.533640,3257290651
2021-08-18,23.518677,25.132393,22.729355,23.948135,23.948135,2397153468
2021-08-19,23.887037,26.806604,23.480202,26.548628,26.548628,2276827143
2021-08-20,26.551378,28.436684,26.123295,28.146954,28.146954,2387493287
2021-08-21,28.165449,29.349266,27.540232,27.873337,27.873337,2047070057
2021-08-22,27.886717,28.523918,26.605053,27.736874,27.736874,1752533688
2021-08-23,27.694242,28.639219,27.376120,27.891310,27.891310,1729002173
2021-08-24,27.927942,28.166487,24.428972,25.081446,25.081446,2018934382
2021-08-25,25.100426,26.528032,24.611122,25.935373,25.935373,1846569890
2021-08-26,25.998190,26.382315,23.559156,23.981495,23.981495,1685733118
2021-08-27,23.962322,26.735603,23.462704,26.569754,26.569754,1736385099
2021-08-28,26.568514,26.752275,25.495516,25.966742,25.966742,1084058904
2021-08-29,25.967539,26.468410,25.315912,25.732918,25.732918,1004630100
2021-08-30,25.733837,27.564707,24.417465,26.044720,26.044720,1847373258
2021-08-31,26.046707,31.908222,25.681646,31.470020,31.470020,5433775562
2021-09-01,31.454428,33.782982,29.683525,33.139481,33.139481,3610653475
2021-09-02,33.187469,33.187469,31.360918,31.814713,31.814713,2159617235
2021-09-03,31.800776,34.006435,31.057369,33.674274,33.674274,2402724194
2021-09-04,33.575996,34.062569,32.111290,32.417515,32.417515,1508568851
2021-09-05,32.383621,34.744087,32.037807,34.408791,34.408791,1731805767
2021-09-06,34.426655,35.014164,32.642757,34.311203,34.311203,2185610406
2021-09-07,34.333874,35.670620,22.762300,27.825745,27.825745,5554694141
2021-09-08,27.877996,28.866243,25.356224,27.708794,27.708794,3210808968
2021-09-09,27.206137,31.800285,27.075872,29.835569,29.835569,3007862034
2021-09-10,29.817101,32.568165,28.109940,29.215357,29.215357,3735477033
2021-09-11,29.178246,32.052071,28.332056,31.594603,31.594603,2273035757
2021-09-12,31.631861,36.302341,30.696190,35.774338,35.774338,4160379169
2021-09-13,35.874531,37.931332,31.647409,34.767990,34.767990,7156687508
2021-09-14,34.872154,38.683414,34.139061,37.375801,37.375801,3761631381
2021-09-15,37.382095,38.003117,35.617805,36.463394,36.463394,2154595131
2021-09-16,36.486725,36.963493,34.095646,35.547550,35.547550,2430072000
2021-09-17,35.531845,36.894970,32.239902,33.021385,33.021385,2365641231
2021-09-18,33.013012,35.834457,32.533813,34.898865,34.898865,1805117461
2021-09-19,34.850250,34.884766,33.098015,33.801334,33.801334,1453929289
2021-09-20,33.843315,33.890808,27.029417,28.051830,28.051830,3954630278
2021-09-21,28.303570,30.261415,25.561138,26.316502,26.316502,3325097631
2021-09-22,26.344912,31.992186,25.979168,31.611773,31.611773,2905928191
2021-09-23,31.601166,33.591957,30.443762,33.544739,33.544739,2239422860
2021-09-24,33.456425,33.551445,28.149689,30.842344,30.842344,3844864517
2021-09-25,30.842184,32.229725,29.487118,29.843185,29.843185,2036495249
2021-09-26,29.881676,30.025686,26.838930,28.828663,28.828663,2609528913
2021-09-27,28.906639,30.219685,27.636187,27.772104,27.772104,1672382041
2021-09-28,27.752607,28.338757,26.177124,26.333828,26.333828,1505382459
2021-09-29,26.361603,28.587091,26.128227,27.274256,27.274256,1537170123
2021-09-30,27.302153,28.972292,27.158257,28.580620,28.580620,1239805621
2021-10-01,28.618809,32.307915,28.526262,31.968777,31.968777,1998408915
2021-10-02,31.941595,33.380241,31.573839,32.122108,32.122108,1447666890
2021-10-03,32.039993,32.682095,31.336826,32.105255,32.105255,1294791998
2021-10-04,32.113350,32.113350,30.093058,31.042126,31.042126,1294606337
2021-10-05,31.119637,32.127663,30.639462,31.427458,31.427458,1258661015
2021-10-06,31.397581,33.021286,29.186972,32.289612,32.289612,1979276161
2021-10-07,32.228180,35.308163,31.023617,33.974548,33.974548,2724383950
2021-10-08,33.965694,34.482086,33.166405,33.372894,33.372894,1540992724
2021-10-09,33.307346,36.896160,33.028484,36.327404,36.327404,1925845633
2021-10-10,36.314213,37.416965,34.247864,34.466419,34.466419,1892396216
2021-10-11,34.479015,36.075645,33.299267,34.184631,34.184631,1633598821
2021-10-12,34.148518,35.414696,32.118618,35.159767,35.159767,1907396456
2021-10-13,35.173168,43.098511,33.795952,41.616932,41.616932,4978924113
2021-10-14,41.674599,42.427547,39.489075,40.755100,40.755100,3094236878
2021-10-15,40.745117,44.068069,39.517784,43.157112,43.157112,3509884039
