time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-02-13T00:00:00.0000000Z;2021-02-14T00:00:00.0000000Z;2021-02-13T00:01:00.0000000Z;2021-02-13T23:59:00.0000000Z;0.12128676810022623;0.1260724441509491;0.10570681113098006;0.11171695861156909
2021-02-14T00:00:00.0000000Z;2021-02-15T00:00:00.0000000Z;2021-02-14T00:01:00.0000000Z;2021-02-14T23:59:00.0000000Z;0.11255405720025385;0.1160843416294479;0.09467585940740152;0.10063290363718762
2021-02-15T00:00:00.0000000Z;2021-02-16T00:00:00.0000000Z;2021-02-15T00:01:00.0000000Z;2021-02-15T23:59:00.0000000Z;0.1012644885974927;0.11961684598827796;0.08224501675887647;0.10802398234065352
2021-02-16T00:00:00.0000000Z;2021-02-17T00:00:00.0000000Z;2021-02-16T00:01:00.0000000Z;2021-02-16T23:59:00.0000000Z;0.10851735011150299;0.11521345462241715;0.10080593985118949;0.10864019582184757
2021-02-17T00:00:00.0000000Z;2021-02-18T00:00:00.0000000Z;2021-02-17T00:01:00.0000000Z;2021-02-17T23:59:00.0000000Z;0.10879475865489871;0.11956930488295038;0.09549437750577959;0.11240161732879503
2021-02-18T00:00:00.0000000Z;2021-02-19T00:00:00.0000000Z;2021-02-18T00:01:00.0000000Z;2021-02-18T23:59:00.0000000Z;0.11305278106930933;0.13342337288716513;0.11238574135791081;0.12219895177459773
2021-02-19T00:00:00.0000000Z;2021-02-20T00:00:00.0000000Z;2021-02-19T00:01:00.0000000Z;2021-02-19T23:59:00.0000000Z;0.12321506027310432;0.1653963630931336;0.11907130908153596;0.1543920170718447
2021-02-20T00:00:00.0000000Z;2021-02-21T00:00:00.0000000Z;2021-02-20T00:01:00.0000000Z;2021-02-20T23:59:00.0000000Z;0.15330856353697245;0.19984379453108553;0.1318991083769907;0.1462905768721863
2021-02-21T00:00:00.0000000Z;2021-02-22T00:00:00.0000000Z;2021-02-21T00:01:00.0000000Z;2021-02-21T23:59:00.0000000Z;0.14511909427230785;0.183773441210803;0.1392732227743078;0.1624925681699353
2021-02-22T00:00:00.0000000Z;2021-02-23T00:00:00.0000000Z;2021-02-22T00:01:00.0000000Z;2021-02-22T23:59:00.0000000Z;0.1634193796710737;0.16677636753903285;0.12420509329228052;0.15236599537270382
2021-02-23T00:00:00.0000000Z;2021-02-24T00:00:00.0000000Z;2021-02-23T00:01:00.0000000Z;2021-02-23T23:59:00.0000000Z;0.1527170944014582;0.1527170944014582;0.10005636788549183;0.13736708713164195
2021-02-24T00:00:00.0000000Z;2021-02-25T00:00:00.0000000Z;2021-02-24T00:01:00.0000000Z;2021-02-24T23:59:00.0000000Z;0.1368018000813184;0.17160099952609034;0.1282585731489216;0.16072926002824442
2021-02-25T00:00:00.0000000Z;2021-02-26T00:00:00.0000000Z;2021-02-25T00:01:00.0000000Z;2021-02-25T23:59:00.0000000Z;0.1606523036618389;0.22185082764506037;0.1590739088099562;0.1735714217402664
2021-02-26T00:00:00.0000000Z;2021-02-27T00:00:00.0000000Z;2021-02-26T00:01:00.0000000Z;2021-02-26T23:59:00.0000000Z;0.1750515867060832;0.20315324483605732;0.16003086047083193;0.19097781979870085
2021-02-27T00:00:00.0000000Z;2021-02-28T00:00:00.0000000Z;2021-02-27T00:01:00.0000000Z;2021-02-27T23:59:00.0000000Z;0.1902721148297027;0.23110821132036613;0.18882426820736592;0.1967579489124493
2021-02-28T00:00:00.0000000Z;2021-03-01T00:00:00.0000000Z;2021-02-28T00:01:00.0000000Z;2021-02-28T23:59:00.0000000Z;0.1958336021853734;0.23233576914114917;0.17374922473920107;0.2295489790068633
2021-03-01T00:00:00.0000000Z;2021-03-02T00:00:00.0000000Z;2021-03-01T00:01:00.0000000Z;2021-03-01T23:59:00.0000000Z;0.23341548212577362;0.25298491868776135;0.21754730535487826;0.2519534266554092
2021-03-02T00:00:00.0000000Z;2021-03-03T00:00:00.0000000Z;2021-03-02T00:01:00.0000000Z;2021-03-02T23:59:00.0000000Z;0.2497898247514198;0.2497898247514198;0.2137743191115604;0.23240180064848684
2021-03-03T00:00:00.0000000Z;2021-03-04T00:00:00.0000000Z;2021-03-03T00:01:00.0000000Z;2021-03-03T23:59:00.0000000Z;0.2322081937055679;0.23803144629408188;0.21912349235390705;0.22396277034695333
